Monthly_Demand,Lead_Time,Stock_Level,Supplier_Reliability,Seasonality_Factor,Year,Month,Day,Weekday,Quarter,Device_Type_Monitoring,Device_Type_Surgical,Device_Type_Therapeutic
565,18,608,0.81,1.0073325462463096,2018,1,1,3,1,0.0,1.0,0.0
480,12,497,0.91,0.9750877212945068,2018,1,3,5,1,0.0,0.0,1.0
599,9,646,0.83,1.028932626449608,2018,1,5,7,1,0.0,1.0,0.0
478,18,500,0.82,1.0442587133085548,2018,1,5,7,1,1.0,0.0,0.0
516,12,537,0.72,1.022368328406678,2018,1,6,1,1,1.0,0.0,0.0
436,24,451,0.85,0.956735838594134,2018,1,6,1,1,0.0,0.0,1.0
453,27,482,0.93,0.9796395974490744,2018,1,8,3,1,0.0,0.0,0.0
632,7,670,0.71,1.02128664985335,2018,1,9,4,1,1.0,0.0,0.0
499,3,519,0.91,0.9889185808948876,2018,1,11,6,1,0.0,1.0,0.0
546,28,587,0.93,0.9819863889736916,2018,1,12,7,1,0.0,0.0,1.0
477,15,488,0.8,1.0444983371580303,2018,1,12,7,1,0.0,0.0,1.0
435,8,448,0.75,1.005211755469428,2018,1,12,7,1,0.0,0.0,0.0
485,29,521,0.82,0.9761038697096908,2018,1,13,1,1,0.0,0.0,1.0
467,22,498,0.74,1.0305064218109483,2018,1,13,1,1,0.0,1.0,0.0
530,11,557,0.77,1.0572923900052815,2018,1,13,1,1,0.0,0.0,0.0
547,20,575,1.0,1.0300214494812137,2018,1,15,3,1,0.0,0.0,1.0
421,15,443,0.95,1.0247380938258597,2018,1,16,4,1,0.0,1.0,0.0
455,6,478,0.97,0.9770744486454678,2018,1,16,4,1,0.0,0.0,1.0
599,27,627,0.85,1.0303085736557245,2018,1,17,5,1,0.0,0.0,1.0
485,4,509,0.86,1.0131436885413878,2018,1,19,7,1,0.0,0.0,0.0
482,25,508,0.84,0.970309337686614,2018,1,19,7,1,1.0,0.0,0.0
597,20,626,0.8,0.981608994139642,2018,1,20,1,1,1.0,0.0,0.0
582,22,610,0.76,1.0141084523357518,2018,1,21,2,1,1.0,0.0,0.0
592,15,616,0.74,1.067359657390947,2018,1,21,2,1,0.0,1.0,0.0
426,7,454,0.95,1.0153505436150887,2018,1,22,3,1,0.0,0.0,0.0
574,13,592,0.88,1.0183886016281702,2018,1,23,4,1,0.0,0.0,0.0
607,27,640,0.7,1.0235940983254754,2018,1,23,4,1,0.0,1.0,0.0
569,14,614,0.92,1.0489270160024209,2018,1,24,5,1,0.0,0.0,1.0
536,5,555,0.73,1.0033060442569008,2018,1,26,7,1,1.0,0.0,0.0
480,16,506,0.97,0.9938411102417656,2018,1,27,1,1,0.0,0.0,0.0
504,13,519,0.9,1.0035717641642743,2018,1,28,2,1,0.0,0.0,1.0
572,14,600,0.84,1.0129501814244093,2018,1,28,2,1,0.0,0.0,0.0
410,13,421,0.79,1.0341712179331497,2018,1,29,3,1,0.0,0.0,0.0
482,25,509,0.99,1.0191070582579982,2018,1,29,3,1,0.0,0.0,0.0
503,25,532,0.89,1.067860813255267,2018,2,2,7,1,0.0,0.0,0.0
457,13,479,0.8,1.0132104618738802,2018,2,3,1,1,0.0,0.0,1.0
485,16,503,0.93,1.0240470719959769,2018,2,6,4,1,1.0,0.0,0.0
539,7,577,0.73,1.0729637353100512,2018,2,7,5,1,0.0,0.0,1.0
554,18,592,0.84,0.9941907155248448,2018,2,7,5,1,0.0,1.0,0.0
585,25,609,0.88,1.0563273672967992,2018,2,8,6,1,0.0,1.0,0.0
576,13,607,0.72,1.060215056592279,2018,2,8,6,1,0.0,0.0,1.0
430,19,461,0.74,1.0184525133452589,2018,2,9,7,1,0.0,1.0,0.0
509,3,548,0.94,1.0586889144214675,2018,2,10,1,1,0.0,0.0,1.0
577,11,601,0.81,1.06131033643295,2018,2,13,4,1,0.0,1.0,0.0
518,28,535,0.74,0.9898329584754124,2018,2,15,6,1,1.0,0.0,0.0
660,18,691,0.84,1.0640145083536985,2018,2,15,6,1,0.0,0.0,0.0
475,19,501,0.99,1.0594930642618905,2018,2,15,6,1,0.0,0.0,1.0
531,9,556,0.78,1.0165974471114536,2018,2,17,1,1,0.0,0.0,1.0
450,3,469,0.86,1.0320459330018146,2018,2,18,2,1,0.0,0.0,0.0
586,8,611,0.79,1.0856563821810938,2018,2,18,2,1,0.0,0.0,1.0
490,10,516,0.71,0.9953777560812164,2018,2,19,3,1,1.0,0.0,0.0
569,13,597,0.83,1.0420819228231766,2018,2,20,4,1,1.0,0.0,0.0
502,6,537,0.8,1.026031141218359,2018,2,20,4,1,1.0,0.0,0.0
621,19,665,0.94,1.0273156522849822,2018,2,21,5,1,1.0,0.0,0.0
503,14,521,0.74,1.039312730874263,2018,2,25,2,1,0.0,1.0,0.0
558,6,589,0.93,1.062909095068458,2018,2,26,3,1,0.0,0.0,1.0
540,17,581,0.74,1.0689039827952662,2018,2,26,3,1,0.0,1.0,0.0
519,4,531,0.95,1.0737527678584484,2018,2,26,3,1,1.0,0.0,0.0
495,28,517,0.78,0.9966703639925768,2018,2,28,5,1,1.0,0.0,0.0
546,3,583,0.97,1.0202996504298467,2018,2,28,5,1,0.0,0.0,1.0
626,22,655,1.0,1.0349444442669369,2018,2,28,5,1,1.0,0.0,0.0
607,7,651,0.71,1.0564941766613094,2018,3,2,7,1,0.0,0.0,0.0
394,27,408,0.89,1.0118333250947875,2018,3,3,1,1,0.0,1.0,0.0
447,20,476,0.94,1.0635440162368652,2018,3,3,1,1,0.0,1.0,0.0
526,12,547,0.83,1.0868398183940902,2018,3,3,1,1,0.0,0.0,0.0
630,3,667,0.8,1.0194261471800157,2018,3,4,2,1,1.0,0.0,0.0
518,12,540,0.91,1.0507139935192016,2018,3,4,2,1,0.0,0.0,0.0
450,20,466,0.86,1.0259684535630484,2018,3,5,3,1,1.0,0.0,0.0
676,23,729,0.84,1.0241573593077429,2018,3,6,4,1,0.0,0.0,0.0
607,9,655,0.97,1.0861645952313648,2018,3,6,4,1,0.0,0.0,0.0
550,5,576,0.99,1.0285330902049483,2018,3,6,4,1,0.0,0.0,0.0
612,21,660,0.92,1.0046792427206266,2018,3,7,5,1,0.0,0.0,0.0
540,3,566,0.81,1.0875893093107654,2018,3,7,5,1,1.0,0.0,0.0
505,21,543,0.85,1.0230929265856104,2018,3,8,6,1,0.0,0.0,1.0
472,15,491,0.74,1.0382841469340318,2018,3,8,6,1,1.0,0.0,0.0
447,26,459,0.8,1.0825225226743742,2018,3,10,1,1,0.0,1.0,0.0
549,17,579,0.74,1.0630714870174285,2018,3,11,2,1,0.0,0.0,0.0
637,11,658,0.87,1.0712553671273888,2018,3,12,3,1,0.0,0.0,1.0
660,7,711,0.98,1.063298309171835,2018,3,13,4,1,0.0,0.0,0.0
510,25,520,0.87,1.0345546050469818,2018,3,13,4,1,0.0,1.0,0.0
507,16,536,0.81,1.0492318818246311,2018,3,13,4,1,0.0,0.0,0.0
593,15,613,0.72,1.0719365123504012,2018,3,13,4,1,0.0,1.0,0.0
606,3,638,0.94,1.0643746702465882,2018,3,15,6,1,0.0,0.0,1.0
613,12,627,0.79,1.0906793885085784,2018,3,15,6,1,1.0,0.0,0.0
545,7,567,0.85,1.0100263990917455,2018,3,16,7,1,0.0,0.0,1.0
569,6,583,0.94,1.0580974236805814,2018,3,17,1,1,0.0,1.0,0.0
594,5,636,0.93,1.0430993497400711,2018,3,18,2,1,1.0,0.0,0.0
562,27,603,0.81,1.0808611977296725,2018,3,18,2,1,0.0,0.0,1.0
542,27,582,0.78,1.0224750471085184,2018,3,20,4,1,0.0,0.0,1.0
458,21,472,0.71,1.0580197055386262,2018,3,20,4,1,1.0,0.0,0.0
656,5,671,0.76,1.0557233002886504,2018,3,20,4,1,0.0,0.0,1.0
590,9,607,0.93,1.0724956646487125,2018,3,21,5,1,0.0,1.0,0.0
573,28,585,0.93,1.0194965591413228,2018,3,22,6,1,0.0,0.0,1.0
522,24,538,0.92,1.0060276779329087,2018,3,22,6,1,0.0,1.0,0.0
613,26,629,0.71,1.0224126548835657,2018,3,23,7,1,0.0,1.0,0.0
571,12,594,0.78,1.0822192929337038,2018,3,23,7,1,0.0,0.0,1.0
505,7,519,0.98,1.042243478303258,2018,3,26,3,1,0.0,0.0,0.0
612,14,649,0.95,1.0629047386115793,2018,3,27,4,1,0.0,1.0,0.0
497,12,520,0.74,1.031297727428981,2018,3,29,6,1,0.0,0.0,0.0
505,23,541,0.9,1.0067671881790083,2018,3,31,1,1,0.0,1.0,0.0
572,15,603,0.85,1.0639123862764253,2018,4,2,3,2,0.0,0.0,0.0
581,11,612,0.85,1.093009253456659,2018,4,3,4,2,1.0,0.0,0.0
475,3,508,0.94,1.00987029791696,2018,4,3,4,2,0.0,0.0,0.0
554,6,572,0.79,1.0560291444776588,2018,4,4,5,2,0.0,0.0,1.0
580,23,615,0.84,1.0689764560996864,2018,4,5,6,2,1.0,0.0,0.0
591,24,621,0.73,1.0767923558908052,2018,4,6,7,2,0.0,1.0,0.0
625,8,666,0.91,1.0648280138174395,2018,4,7,1,2,1.0,0.0,0.0
538,4,558,0.81,1.0249450142548795,2018,4,9,3,2,0.0,1.0,0.0
