Device_ID,Device_Type,Order_Date,Monthly_Demand,Lead_Time,Stock_Level,Supplier_Reliability,Seasonality_Factor
DEV_9099,Surgical,2018-01-01,565,18,608,0.81,1.0073325462463096
DEV_2339,Therapeutic,2018-01-03,480,12,497,0.91,0.9750877212945067
DEV_159,Surgical,2018-01-05,599,9,646,0.83,1.0289326264496081
DEV_7489,Monitoring,2018-01-05,478,18,500,0.82,1.0442587133085548
DEV_6616,Monitoring,2018-01-06,516,12,537,0.72,1.022368328406678
DEV_7589,Therapeutic,2018-01-06,436,24,451,0.85,0.9567358385941341
DEV_3689,Diagnostic,2018-01-08,453,27,482,0.93,0.9796395974490743
DEV_6991,Monitoring,2018-01-09,632,7,670,0.71,1.02128664985335
DEV_2564,Surgical,2018-01-11,499,3,519,0.91,0.9889185808948877
DEV_6811,Therapeutic,2018-01-12,546,28,587,0.93,0.9819863889736917
DEV_3755,Therapeutic,2018-01-12,477,15,488,0.8,1.0444983371580303
DEV_4273,Diagnostic,2018-01-12,435,8,448,0.75,1.005211755469428
DEV_1236,Therapeutic,2018-01-13,485,29,521,0.82,0.9761038697096907
DEV_2480,Surgical,2018-01-13,467,22,498,0.74,1.0305064218109483
DEV_8491,Diagnostic,2018-01-13,530,11,557,0.77,1.0572923900052815
DEV_6637,Therapeutic,2018-01-15,547,20,575,1.0,1.0300214494812137
DEV_5420,Surgical,2018-01-16,421,15,443,0.95,1.0247380938258595
DEV_5479,Therapeutic,2018-01-16,455,6,478,0.97,0.9770744486454678
DEV_8017,Therapeutic,2018-01-17,599,27,627,0.85,1.0303085736557245
DEV_9770,Diagnostic,2018-01-19,485,4,509,0.86,1.0131436885413878
DEV_51,Monitoring,2018-01-19,482,25,508,0.84,0.9703093376866141
DEV_9237,Monitoring,2018-01-20,597,20,626,0.8,0.9816089941396421
DEV_6182,Monitoring,2018-01-21,582,22,610,0.76,1.0141084523357518
DEV_7576,Surgical,2018-01-21,592,15,616,0.74,1.067359657390947
DEV_1655,Diagnostic,2018-01-22,426,7,454,0.95,1.0153505436150887
DEV_1986,Diagnostic,2018-01-23,574,13,592,0.88,1.0183886016281702
DEV_6294,Surgical,2018-01-23,607,27,640,0.7,1.0235940983254754
